rep,seed,T,eta,theta_rad,radius,w0_x,w0_y,angle_to_predicted_deg
0,2026092499,200000,1.0,0.3114140171801797,0.1958247559010684,0.18640583184374762,0.06000167396292798,0.17502362386200562
1,2026092499,200000,1.0,0.16373696362716264,0.9998070453193004,0.9864346512456519,0.1629748652154029,0.18918227719676148
2,2026092499,200000,1.0,0.27300142527534327,0.018785863334619513,0.018090147333822637,0.00506509927519605,0.01337346774739382
3,2026092499,200000,1.0,0.14655291301012852,0.3167088942177022,0.31331387896532115,0.0462486424049806,0.03378987326110807
4,2026092499,200000,1.0,0.07580019867823781,0.7768923577745586,0.7746615426056932,0.058832218862460456,0.18128633662931803
5,2026092499,200000,1.0,0.24496390628620726,0.1576990905925747,0.15299115441590738,0.03824538984260809,0.09119674044900632
6,2026092499,200000,1.0,0.41431819497024325,0.11833179585871045,0.10831986149861177,0.04763634658607952,0.1626047416885195
7,2026092499,200000,1.0,0.20589022080510405,0.6990212643573804,0.6842574996750976,0.14290697030647054,0.273586478527393
8,2026092499,200000,1.0,0.42063506791798294,0.26347696196535786,0.24050962265833592,0.10758824701257803,0.36963049186858177
9,2026092499,200000,1.0,0.5171515619370127,0.32700149873624185,0.2842398363128233,0.1616715671619713,0.6012762350460522
10,2026092499,200000,1.0,0.6470984693734411,0.38208492127858373,0.3048412626384212,0.23034906481571538,0.9160240746570067
11,2026092499,200000,1.0,0.10689652761243701,0.4128180460157679,0.4104616825388914,0.04404482130306517,0.03464356284096867
12,2026092499,200000,1.0,0.6713165346363722,0.5571363014217406,0.4362396390420991,0.3465484608107728,1.3906037080406366
13,2026092499,200000,1.0,0.5804310032950436,0.7438931828971648,0.6220630975697636,0.40793941977061415,1.5719552709884455
14,2026092499,200000,1.0,0.2655565950304706,0.35350317433311707,0.34111167697083006,0.0927756331034085,0.2390811614979176
15,2026092499,200000,1.0,0.42619371448593946,0.7661124983907271,0.6975805872134082,0.31671704174780124,1.093398476436464
16,2026092499,200000,1.0,0.31761676503939434,0.33818630425984986,0.3212710395586999,0.1056167388712984,0.3121170818896275
17,2026092499,200000,1.0,0.3977260015441648,0.3987896652815649,0.367661798394528,0.15446034810489073,0.5172463623546625
18,2026092499,200000,1.0,0.6644112146099744,0.8350783074015199,0.6574404198801469,0.5149056940842697,2.058739295874971
19,2026092499,200000,1.0,0.09241380128832394,0.5724933494104539,0.5700504532143239,0.05283101276091542,0.08789226106032764
